Rule_ID,WCAG_Level,WCAG_Criteria,WCAG_Principle,User_Impact,Population_Affected,Fix_Complexity,Implementation_Status,Category,Has_Research_Citation
img-alt,A,1.1.1,Perceivable,10,9,1,Complete,images,Yes
control-name,A,4.1.2,Robust,9,8,2,Complete,forms,No
button-name,A,4.1.2,Robust,9,8,1,Complete,interactive,No
link-name,A,"2.4.4,4.1.2",Operable/Robust,8,8,1,Complete,interactive,No
label-control,A,"1.3.1,3.3.2",Perceivable/Understandable,9,8,2,Complete,forms,No
headings-order,AA,"2.4.6,1.3.1",Operable/Perceivable,6,8,3,Complete,structure,Yes
landmarks,best-practice,N/A,N/A,4,6,2,Complete,structure,No
aria-role-valid,A,4.1.2,Robust,6,7,2,Complete,aria,No
aria-required-props,A,4.1.2,Robust,7,7,2,Complete,aria,No
aria-attr-valid,A,4.1.2,Robust,5,7,2,Complete,aria,No
aria-presentation-misuse,A,"1.3.1,4.1.2",Perceivable/Robust,6,7,3,Complete,aria,No
aria-hidden-focus,A,"1.3.1,4.1.2",Perceivable/Robust,8,6,2,Complete,aria,No
target-size,AA,2.5.8,Operable,7,8,3,Complete,interaction,Yes
contrast-text,AA,1.4.3,Perceivable,8,9,2,Complete,visual,Yes
link-in-text-block,A,1.4.1,Perceivable,6,4,2,Complete,visual,No
html-lang,A,3.1.1,Understandable,5,7,1,Complete,document,No
document-title,A,2.4.2,Operable,6,7,1,Complete,document,No
skip-link,A,2.4.1,Operable,5,6,2,Complete,navigation,No
link-button-misuse,best-practice,N/A,N/A,4,6,3,Complete,interactive,No
tabindex-positive,best-practice,N/A,N/A,6,6,3,Complete,interaction,No
fieldset-legend,A,"1.3.1,3.3.2",Perceivable/Understandable,6,7,2,Complete,forms,No
autocomplete,AA,1.3.5,Perceivable,5,5,1,Complete,forms,No
media-captions,A,1.2.2,Perceivable,10,5,3,Complete,media,Yes
audio-transcript,A,1.2.1,Perceivable,9,4,4,Complete,media,No
heading-h1,best-practice,N/A,N/A,4,6,2,Complete,structure,No
region-name,A,2.4.1,Operable,5,6,2,Complete,structure,No
iframe-title,A,4.1.2,Robust,7,7,1,Complete,embedded,No
meta-viewport,AA,1.4.4,Perceivable,6,5,1,Complete,document,No
list,A,1.3.1,Perceivable,5,7,2,Complete,structure,No
duplicate-ids,A,4.1.1,Robust,6,7,2,Complete,structure,No
dl-structure,A,1.3.1,Perceivable,4,6,2,Complete,structure,No
interactive-role-focusable,A,"2.1.1,4.1.2",Operable/Robust,8,6,2,Complete,interaction,No
aria-allowed-attr,A,4.1.2,Robust,4,6,2,Complete,aria,No
aria-allowed-role,A,4.1.2,Robust,5,6,2,Complete,aria,No
aria-required-children,A,4.1.2,Robust,6,7,3,Complete,aria,No
aria-required-parent,A,4.1.2,Robust,6,7,3,Complete,aria,No
table-headers-association,A,1.3.1,Perceivable,7,7,3,Complete,tables,No
table-caption,A,1.3.1,Perceivable,5,6,1,Complete,tables,No
